Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-03-22,0.00464,0.005082,0.016812,0.01167,0.001642,0.017327,0.026884,0.056366,0.043292,0.007308
2022-03-23,0.033143,0.023783,0.041842,0.021878,0.045546,0.039903,0.011745,0.003234,0.015612,0.052102
2022-03-24,0.000789,0.010792,-0.000972,0.010899,0.006447,0.029481,0.004595,-0.009546,0.000202,-0.00909
2022-03-25,0.008408,-0.004162,0.000162,-0.010011,-0.020776,-0.005,0.01637,-0.004631,-0.01456,-0.00253
2022-03-28,-0.022929,-0.021988,-0.006969,-0.010502,-0.001061,0.005939,-0.008764,-0.008803,0.020726,-0.017917
2022-03-29,0.013067,0.028242,0.00408,0.018082,0.008673,0.026794,0.012187,0.009642,0.014877,0.018728
2022-03-30,-0.00739,0.018376,0.026778,0.001549,0.004387,-0.006493,-0.003834,-0.00704,0.010535,-0.002377
2022-03-31,-0.000798,-0.037511,-0.0136,-0.015849,0.000175,0.001803,-0.003127,-0.019979,-0.022369,0.000635
2022-04-01,-0.00133,0.009051,-0.010868,-0.015711,0.015895,-0.007874,-0.002172,0.013679,0.014913,-0.01143
2022-04-04,-0.001599,0.01684,0.002296,0.009577,0.000172,0.002721,0.00532,-0.002984,-0.031804,-0.01638
2022-04-05,-0.011743,0.016382,0.005236,0.005138,0.010315,0.00294,-0.012509,-0.020172,-0.007692,0.020571
2022-04-06,-0.017823,-0.008325,-0.008464,-0.022021,-0.006636,-0.012401,-0.01218,0.001594,-0.009637,-0.003839
2022-04-07,-0.024471,-0.031434,-0.041694,-0.031363,-0.021583,-0.009817,-0.010111,-0.015913,-0.026232,-0.033564
2022-04-08,-0.003664,0.00461,0.011819,0.012453,0.011204,-0.033664,-0.014449,-0.001617,-0.010645,-0.000166
2022-04-11,0.006789,-0.018722,-0.009819,-0.03936,-0.024065,0.002863,0.004044,0.025239,0.012297,-0.027256
2022-04-12,-0.030065,-0.029181,-0.025816,-0.026462,-0.034593,-0.015227,-0.007805,-0.003028,0.003904,-0.031779
2022-04-13,0.012457,0.039884,0.02106,0.00833,0.029401,0.02416,0.011672,-0.013997,-0.006698,0.028763
2022-04-14,0.009728,-0.027237,0.02561,0.000435,0.005891,0.005662,0.009782,0.003616,0.016967,0.021441
2022-04-15,-0.008784,-0.001714,-0.001676,-0.025206,-0.02094,0.013371,-0.006706,0.003603,0.000428,0.088329
2022-04-18,-0.01944,-0.0332,-0.024173,-0.006687,-0.01432,-0.002315,-0.007002,0,-0.001069,-0.012498
2022-04-19,0.020117,-0.011446,0.009978,0.012567,0.006988,0.010209,0.000504,0.004255,0.011558,-0.017188
2022-04-20,0.007716,0.017169,0.023505,0.013298,-0.021366,0.037437,0.01485,0.025288,0.015658,0.02496
2022-04-21,0.016733,-0.003337,0.009818,0.014873,0.015861,-0.003764,-0.007192,0.000129,0.0025,0.02761
2022-04-22,-0.008647,-0.039583,0.002142,-0.027586,-0.018369,-0.017778,-0.007245,-0.012395,-0.007481,-0.027019
2022-04-25,-0.00197,-0.018864,-0.00592,-0.015514,-0.044349,-0.00905,-0.008807,-0.018042,-0.028266,-0.052746
2022-04-26,-0.000564,0.019227,-0.022663,-0.003152,-0.009399,-0.004566,-0.015486,-0.009187,0.007757,0.002948
2022-04-27,-0.014669,-0.026656,-0.000677,-0.007678,-0.005337,-0.006651,-0.020887,-0.010078,-0.026299,-0.004246
2022-04-28,0.029774,0.014957,0.028455,0.021393,0.050278,0.032325,0.035554,0.02389,0.0426,-0.013447
2022-05-02,-0.005004,-0.008717,0.067194,-0.005348,-0.011542,-0.003355,-0.004069,0.002519,-0.007372,0.008976
2022-05-06,0.021235,-0.021776,0.00463,-0.00448,0.000191,0.021544,0.013024,0.030812,0.027583,0.010214
2022-05-09,-0.014227,-0.043022,-0.019508,-0.024302,-0.038469,-0.01362,-0.022687,-0.021296,-0.023952,-0.062622
2022-05-10,-0.008882,-0.023037,0.010183,-0.031365,0.003185,-0.029621,-0.047459,-0.016647,-0.025174,0.009395
2022-05-11,-0.00084,0.001832,-0.020782,0.020952,-0.001389,-0.044297,-0.037368,-0.028792,-0.004557,0.016891
2022-05-12,-0.01009,-0.025823,-0.019956,0.00653,-0.023048,-0.01537,-0.019691,0.001098,-0.022673,-0.045932
2022-05-13,0.018969,0.068731,0.03927,0.02873,0.037625,0.002439,0.016069,0.001919,0.026099,0.044235
2022-05-16,-0.001667,0.029851,-0.000311,0.007207,0.006076,-0.002676,-0.002259,-0.0026,-0.020217,0.017863
2022-05-17,0.000557,0.020247,-0.001244,0.005367,0.00039,-0.008051,0.009057,-0.016189,0.012425,0.006686
2022-05-18,0.016968,0.002925,0.020246,0.029359,0.00779,0.005411,0.023562,0.013806,0.0103,-0.003321
2022-05-19,-0.02872,-0.04145,-0.000916,-0.015557,-0.028792,-0.01908,-0.02165,-0.015818,-0.001735,-0.031151
2022-05-20,0.009012,0.063016,0.013751,0.011852,-0.023876,0.021446,0.018207,0.014395,0.006084,0.025275
2022-05-23,0,0.006541,-0.001658,-0.006508,0.008969,0.006592,0.005227,0.01116,0.01987,0.013752
2022-05-24,-0.012001,-0.0658,0.000302,-0.006987,-0.015152,-0.005578,0.007663,0.006949,-0.004447,-0.00976
2022-05-25,0.001413,-0.031087,-0.000151,-0.014512,0.012513,-0.003171,0.011407,-0.007578,0.009572,-0.004678
2022-05-26,-0.013822,0.000673,-0.003925,0.005355,0.000608,0.01884,-0.008593,0.010226,0.001264,0.004028
2022-05-27,0.020595,-0.013453,0.009395,0.014203,-0.006884,0.000961,-0.004605,-0.002835,0.018939,-0.002842
2022-05-30,0.022982,0.066818,0.017865,0.049891,0.052803,0.020393,0.012517,-0.000677,0.016935,0.032691
2022-05-31,0.004657,0.008521,-0.008112,0.010004,-0.000968,-0.001881,-0.006987,-0.011648,-0.004265,0.005682
2022-06-01,0.013363,-0.024715,0.010558,0.021048,0.000775,0.035336,0.015156,0.02179,0.014481,-0.005488
2022-06-02,-0.003768,-0.025774,0.000147,-0.031932,-0.012009,-0.002048,-0.002399,-0.006304,0.005026,0.024996
2022-06-03,-0.004052,0.026901,0.00868,0.018789,0.005293,-0.012768,0.002138,-0.00162,-0.018004,0.058591
2022-06-06,-0.000814,-0.017969,0.002625,-0.010246,-0.000195,-0.000924,-0.002933,-0.001217,0.002852,0.027674
2022-06-07,-0.004615,-0.002645,0.009601,0.004141,0.005266,0.012714,-0.003744,0.014348,0.000203,-0.003202
2022-06-08,0.011999,0.017462,0.009798,0.018144,-0.005045,0.018032,0.041342,-0.009207,0.018075,0.000292
2022-06-09,-0.011857,-0.00478,-0.013841,-0.004455,0.006435,0.004036,0.001805,0.007273,-0.00778,0.019416
2022-06-10,-0.011999,-0.029033,0.00492,-0.013019,-0.023639,-0.015855,-0.010808,-0.003878,-0.026337,-0.009308
2022-06-13,-0.048026,-0.04384,-0.012959,-0.049464,-0.039492,-0.032675,-0.026535,-0.012215,-0.032005,-0.029199
2022-06-14,0.005509,-0.019045,-0.008315,-0.026019,-0.005992,-0.017124,0.002138,-0.004484,-0.009812,-0.001638
2022-06-15,-0.002307,-0.037152,-0.018093,-0.01024,-0.038661,-0.00716,-0.0128,0.010374,-0.0028,0.001342
2022-06-16,-0.010116,-0.016679,0.006742,0.015295,0.005405,0.028846,0.002161,0.009592,0.012746,0.014447
2022-06-17,-0.049635,-0.058228,-0.032143,-0.006203,-0.009247,-0.035981,-0.014825,-0.021678,-0.024531,0.005432
2022-06-20,-0.063902,0.023925,-0.014914,-0.016942,0.000217,0.012845,-0.008208,-0.00041,-0.012027,0.009054
2022-06-21,0.01641,0.028616,0.01592,0.039909,0.023221,0.023451,0.025655,0.027915,0.035857,-0.001447
2022-06-22,-0.021634,0.004084,-0.004916,-0.008286,0.00509,0.008183,-0.008607,-0.002662,-0.00812,0.007246
2022-06-23,-0.051485,-0.011185,-0.006485,-0.010994,-0.026166,-0.013683,-0.014107,0.001735,0.003877,0.018705
2022-06-24,0.043145,0.024936,-0.006682,0.000445,0.002167,-0.007054,-0.004403,-0.018788,-0.009227,-0.005085
2022-06-27,0.047365,0.031352,0.032071,0.022667,0.024,0.004736,0.011885,-0.000815,0.013645,0.014906
2022-06-28,-0.004777,-0.020185,0.008944,0.008257,-0.000422,0.021683,0.021579,0.006795,0.01282,0.007134
2022-06-29,-0.00096,0.001737,-0.010817,-0.009914,-0.009928,-0.018224,0.000802,0.00081,-0.005907,-0.006389
2022-06-30,-0.019859,-0.010159,-0.022175,-0.033957,-0.010454,-0.013158,-0.020305,-0.016186,-0.033956,-0.00643
